FRPRE_EXP_0,FRPRE_EXP_1,FRPRE_EXP_2,FRPRE_EXP_3,FRPRE_EXP_4,FRPRE_EXP_5,FRPRE_EXP_6,FRPRE_EXP_7,FRPRE_EXP_8,FRPRE_EXP_9,E2FD_TEMP,E2FD_FLOW,PFR1_TEMP,INIFD1_FLOW1,INIFD1_FLOW2,MWN_LDPE,MWW_LDPE,FSCBN_LDPE,TMAX_PFR1,TEMP_OUT,FLOW_LDPE
3.5256864280650126e-06,3.3761374257232275e-09,284448948.9414801,214430560.08100447,1227044.0948693196,1417437.8944583307,52755448.017612785,2402173592.010874,2614829789.782968,1308907086.1988719,119.7757539381577,60027.558134950865,168.95838413507772,7.5499513641857785,1.5897935930540315,32043.5378,173246.833,29.4631065,288.608735,221.357485,9040.93812
3.455792020570105e-06,3.5324053523458958e-09,200665844.31645387,283112089.3132268,1446075.5660545325,1464561.2641615097,70859528.81899267,2100875302.662915,2914231073.787908,1323668342.567194,115.37168224996564,63153.220204614205,169.87191796031937,6.896692308954335,1.5772723423193025,32596.5673,168071.587,23.3788985,301.25888,224.479379,10117.7162
4.069295946926846e-06,4.177190918093142e-09,250013356.31668645,288832748.4007985,1365708.4514686642,1139788.7615847075,54508251.76988211,2196916342.9481297,2236024399.707794,1174096695.6851888,101.17584332124866,56178.840610415675,169.5937291440543,7.048898311655201,1.5042280703576285,37157.3771,168266.632,20.5578792,300.611944,223.31774,9247.04945
3.461872589027417e-06,4.4080228086981105e-09,289199739.76235604,228243143.01694006,1052204.040502432,1030640.0590693621,56737240.403301194,2338446340.197642,2112846226.398715,1402981820.4917064,102.77750822180347,63147.53047773137,168.38495132488242,7.364085724392355,1.5826951688324644,33477.1673,138306.316,29.516047,289.643345,219.731503,9403.95859
3.239972962898698e-06,3.883918461030146e-09,264112907.7569028,261526076.14923194,1332778.4781265934,1334386.0192844342,70435280.58728781,2127459367.9819407,2115883950.25117,1382228291.8659053,101.65506017027369,56460.255938191025,165.69380045479681,6.618160298156204,1.7169834491203726,30020.9821,142936.764,26.6620176,301.194307,222.002648,9275.33416
4.3993448694345885e-06,4.491159865971942e-09,267976991.1954983,281196683.43119663,1106557.4241214439,1146020.9547027855,60380544.41431949,2795722941.338165,2733922144.194407,1110100249.4178307,102.98527655097584,55632.08044626775,165.91509053885466,6.586703418277689,1.5658581598407237,36292.6293,156085.971,19.4222797,292.598242,218.981722,8767.85558
4.373881658273266e-06,3.474811877914141e-09,217646715.59271345,285323900.5168747,1061491.2609686595,1070852.3312997425,58111786.450730585,2479458022.686286,2796363679.5144963,1286319408.981014,105.05668623685486,63142.80522382428,166.4892225211821,7.432616645854816,1.8400708677955946,38468.8851,165806.998,22.5180244,303.376822,223.308094,10156.9798
4.325222440902252e-06,3.746175282780252e-09,214090583.79299384,253794856.3379565,1081722.3601177032,1467973.2886989713,52726303.02622983,2899464748.9691224,2789685868.6465187,1541345992.2305214,101.19856932793407,61551.5772898415,168.75349941276116,6.621676399583889,1.9929007211439527,37231.0287,211617.158,29.603359,295.424429,223.251015,9446.41803
3.243122018000963e-06,3.703377145120073e-09,231276217.19166645,224317418.62477365,1150248.9098038394,1156241.7468306702,62090501.27040871,2674312617.4074497,2377184071.1794915,1504933210.1897318,119.15363684682896,58743.04115835548,166.63679349192333,7.634145555941164,1.5033471290101492,30189.7899,127270.063,32.4529097,288.234652,219.17015,8919.54963
3.7003850217972837e-06,4.471223390550036e-09,255209433.97138524,220709831.4224351,1341524.6868687714,1074759.2428623708,57488761.96921578,2110421680.5542307,2185384798.717439,1365095569.6276758,106.47367671130736,59370.95505910695,168.1933753636517,6.658085246847637,1.9667947637154923,30551.6145,128067.552,29.9093002,292.051955,220.867719,9000.41592
