FRPRE_EXP_0,FRPRE_EXP_1,FRPRE_EXP_2,FRPRE_EXP_3,FRPRE_EXP_4,FRPRE_EXP_5,FRPRE_EXP_6,FRPRE_EXP_7,FRPRE_EXP_8,FRPRE_EXP_9,E2FD_TEMP,E2FD_FLOW,PFR1_TEMP,INIFD1_FLOW1,INIFD1_FLOW2,MWN_LDPE,MWW_LDPE,FSCBN_LDPE,TMAX_PFR1,TEMP_OUT,FLOW_LDPE
3.8607e-06,3.7905e-09,207663391.46110794,227295230.40066636,1203996.4441083227,1240000,60700000,2788758598.962683,2942929836.5011315,1300000000,96.25100141418632,61209.7371236041,160.234682307196,4.756170784303153,1.179293133451392,32578.2997,153490.992,27.0002544,276.492104,215.834468,8928.93816
3.8607e-06,3.7905e-09,217713932.77588966,277380158.3655995,1256225.0271378949,1240000,60700000,2749727881.8025684,2322951063.3484173,1300000000,95.65014978793862,66015.13955375017,162.69452617483117,6.8949764935577775,1.4368351732647509,36339.3126,165900.816,22.98066,296.144071,218.446013,10259.9208
3.8607e-06,3.7905e-09,250810658.24821436,297667867.4143266,1125167.6949581124,1240000,60700000,2621518355.858716,2470776090.075344,1300000000,100.26607010317032,69056.60853496514,179.16430059586443,7.549657655684046,1.080206888413299,39422.0397,180533.966,21.4942113,295.029421,227.040107,10602.9961
3.8607e-06,3.7905e-09,254011742.29654616,264682408.93877283,1191004.5281968461,1240000,60700000,2858602248.8326263,2043449763.0054882,1300000000,99.29296808398632,66443.84203257637,176.93539024078203,5.199845966710367,1.2197237745495686,35882.6002,164492.56,23.9287075,290.508053,226.110933,10028.8498
3.8607e-06,3.7905e-09,233374919.75835133,211431985.1302432,1048586.7907908477,1240000,60700000,2933540414.879923,2272718336.8883386,1300000000,96.74921657028273,68569.90676908984,172.69402917510033,6.233094324474077,1.694433758403924,31156.1353,137922.95,29.0241869,285.178734,223.085776,9683.51736
3.8607e-06,3.7905e-09,273290811.2188704,236440367.1146074,1072684.4036448526,1240000,60700000,2313912369.39675,2126170118.6210442,1300000000,101.653168631137,62374.61566460384,174.07623676995402,7.509594570710553,1.2416828249657337,32767.0962,149436.038,26.707425,289.462345,222.59094,9474.96789
3.8607e-06,3.7905e-09,252602969.7991985,257640436.15397048,1339639.2885500083,1240000,60700000,2200422543.381493,2815561049.99936,1300000000,100.63416033464178,60063.431175792575,178.62668955514172,5.633505335333746,1.166780522322653,34121.1163,160359.109,24.6938132,288.214534,226.087742,9181.55566
3.8607e-06,3.7905e-09,266509681.757376,266547126.88969812,1149350.7031152118,1240000,60700000,2533080443.6890907,2357587445.6968493,1300000000,104.269819679461,63830.39188785325,160.7427122107087,7.792639843981222,1.9530992135684175,35022.9764,162264.781,24.1047079,301.729914,219.003851,10115.0872
3.8607e-06,3.7905e-09,270385540.42950034,214122466.12051296,1253885.2802653317,1240000,60700000,2323157165.7136574,2264933160.0063076,1300000000,101.66386608751199,65240.413189063445,163.23455865586473,5.64527594466445,1.9675810790470507,30224.2774,141547.664,29.1208268,291.18,219.907553,9693.09241
3.8607e-06,3.7905e-09,268950846.7988144,243701860.03664827,1298417.80676364,1240000,60700000,2890554535.5516753,2827663106.5311165,1300000000,101.90363848592148,67093.74801677332,171.4747878676905,6.6881245009976364,1.5731471374170696,33322.8423,146678.39,25.5038604,288.604133,222.294413,9799.46413
