grade,FRPRE_EXP_0,FRPRE_EXP_1,FRPRE_EXP_2,FRPRE_EXP_3,FRPRE_EXP_4,FRPRE_EXP_5,FRPRE_EXP_6,FRPRE_EXP_7,FRPRE_EXP_8,FRPRE_EXP_9,E2FD_TEMP,E2FD_FLOW,PFR1_TEMP,INIFD1_FLOW1,INIFD1_FLOW2,MWN_LDPE,MWW_LDPE,FSCBN_LDPE,TMAX_PFR1,TEMP_OUT,FLOW_LDPE
1,3.484256740750073e-06,4.199969780437101e-09,279318486.85699403,207976220.4807494,1317276.3140258624,1183527.6685974132,50312064.77324932,2525808603.170885,2232717222.2289166,1427898133.339591,100,65000,170,6,1.5,32771.9107,151419.604,32.3574355,282.125055,220.385757,9245.11845
1,4.143134165009444e-06,4.216671970606453e-09,251595544.08922303,249369881.50422803,1410167.473224064,1466099.6859794897,58757905.94880969,2768154309.7224293,2088379852.518517,1511544599.208262,100,65000,170,6,1.5,33571.279,169823.235,29.1899913,290.066488,221.202012,9721.02953
1,3.115790384080276e-06,3.2048346938606087e-09,267461880.7843749,257758295.898812,1388815.0213640349,1414571.168036928,49866794.72838924,2296753176.6564875,2928081323.08976,1495722517.1093533,100,65000,170,6,1.5,37966.276,233297.702,28.6543071,296.126263,225.268824,10076.3947
1,3.149264067608036e-06,4.030463789412999e-09,202405107.3887972,206606649.82532448,1093013.644004068,1445242.7175080974,56981123.67080574,2410678545.704081,2410379374.882804,1263765684.0156934,100,65000,170,6,1.5,31631.2681,174559.916,28.9102517,282.600925,221.006781,9262.95621
1,3.621711137265745e-06,4.026910838474394e-09,214423424.0562165,277705672.9593617,1349456.5290162044,1254903.7719056215,68070514.19741759,2905405087.923258,2360132372.4043274,1426920538.4226236,100,65000,170,6,1.5,33607.7142,146330.925,25.1332091,294.675063,222.726512,9981.29072
1,4.11725544410152e-06,4.247404679381195e-09,203460138.26075903,276145695.85220414,1371571.387865191,995666.413067778,56631965.74405979,2627196418.594329,2929273482.1705937,1470477082.6646743,100,65000,170,6,1.5,37722.2631,150739.747,25.774105,291.636594,221.834722,9807.5403
1,3.5886495820369835e-06,3.5018579520201594e-09,260603247.56128168,262913514.9666361,1348855.014847395,1014904.4094502608,71332389.41121256,2131954939.1920624,2509154674.514914,1321868579.304611,100,65000,170,6,1.5,31431.0368,123323.394,24.8909246,297.923846,224.022532,10197.1856
1,4.609414882850928e-06,3.850135699545814e-09,291127256.3879694,279648044.12327754,1377725.0764360472,1004515.5499687887,69587090.49863547,2250748102.3206663,2951213685.673084,1536341604.740539,100,65000,170,6,1.5,33784.892,129627.63,26.9173911,295.510821,222.59709,10068.0207
1,4.31962009238671e-06,3.660822847649365e-09,245049540.8621,286117206.8351251,1252641.935382869,1463537.8958264869,52740684.17651447,2267085991.2397013,2754742801.0948424,1354615604.6791568,100,65000,170,6,1.5,40730.2809,252197.612,23.4660944,298.685609,224.379252,10246.5092
1,4.302716909153794e-06,3.367042622967751e-09,237012907.41860896,296841276.7933209,1252253.5355710126,1353901.7854332733,52446345.87553485,2913377416.943162,2457339342.926248,1218481004.109112,100,65000,170,6,1.5,41224.4675,219560.391,20.4850354,300.558077,225.345835,10363.8383
1,4.521123258494508e-06,4.404866944073896e-09,200459544.95916468,285584584.29061544,1036687.139379792,1124520.9677198618,59291545.05348936,2408471275.619017,2138131873.0198376,1228972807.3023818,100,65000,170,6,1.5,39072.1756,174733.294,21.1656091,297.205744,222.792032,10139.7583
1,4.017339206210068e-06,3.658336201511203e-09,268019950.7870927,268670843.09641606,1062421.4133678663,1082880.8470038294,60701779.79869563,2848428892.700532,2917786981.68336,1118453226.351038,100,65000,170,6,1.5,37038.0511,157065.661,20.2358536,292.3332,222.924551,9865.14963
1,3.119064307430026e-06,3.3779753743057863e-09,267983226.6890732,269971156.0527407,1260193.2966448946,1039736.8042548228,71884717.11820772,2287423373.905047,2173148937.5635505,1494793840.0767107,100,65000,170,6,1.5,31870.8433,128117.128,27.7237134,301.270716,225.35006,10378.259
1,3.672408360311851e-06,3.993620344948884e-09,267615888.35844803,287208373.2065439,1362141.162075264,1191675.081816737,54085566.15972869,2470549801.653488,2656204853.239574,1551602279.4943557,100,65000,170,6,1.5,39462.8896,189911.153,26.634167,297.12233,223.80175,10120.8
1,3.2792794037500168e-06,4.485971848483522e-09,297548185.48743486,279082020.41120416,1039099.3282432558,1201181.1907618055,67268889.02119908,2346469383.9617515,2690577200.400675,1060002317.015118,100,65000,170,6,1.5,36000.3184,166050.72,18.5408035,294.207725,222.509363,9926.12738
1,4.619747013388279e-06,4.081572862364392e-09,267867390.97593775,225714031.78776696,1136639.8116136952,1401757.116119681,57754419.85720968,2872625595.690756,2042784256.9333384,1533032039.2524903,100,65000,170,6,1.5,32989.9651,162027.092,32.2041235,285.071776,220.339911,9448.47157
1,4.002108161698761e-06,3.070768314760589e-09,269819914.46053046,215819340.74251512,1496149.8868676955,1081659.717599131,54205856.99633819,2718779185.098177,2278104076.396591,1528335850.5921395,100,65000,170,6,1.5,31023.6257,128377.914,34.1280744,288.198344,223.213555,9687.205
1,3.6055303700647937e-06,3.1339646046676996e-09,274878063.46171427,273008340.430782,1317402.5704381035,1242988.2540236672,53900225.49719864,2589527759.939404,2436919458.3332186,1141827453.4914737,100,65000,170,6,1.5,37857.3329,189598.096,20.8774627,299.993007,225.755543,10325.4245
1,4.062197313756294e-06,3.8591582286782956e-09,234305677.5580381,210809722.73922944,1476224.3043586134,1270066.42043831,53700908.24047963,2956669367.818994,2316182067.8502,1337201398.9533195,100,65000,170,6,1.5,31061.9205,139402.196,29.8298835,281.276408,220.508739,9243.42473
1,4.525224164360573e-06,3.748368111904545e-09,272985984.9748922,287888041.7330947,1287827.264074589,1467349.1916473457,70740810.30237825,2734628077.012161,2921339147.062017,1425640287.6378932,100,65000,170,6,1.5,34388.4514,169695.891,24.2764234,295.45505,222.854594,10068.5828
1,4.101260874560223e-06,3.1914825893865223e-09,258554347.0626768,241188856.96267903,1031914.9256373212,1083486.6181636602,64142239.3751664,2054345942.7860248,2202145659.541854,1325638620.0429988,100,65000,170,6,1.5,32808.6334,143134.777,27.1622411,297.141576,224.264122,10182.8678
1,4.525360267200856e-06,3.5532516096569887e-09,261588841.99540007,201541246.7370929,1471313.104996727,1074036.543162044,59500055.19042405,2559837187.949661,2011282702.1069565,1526491787.597992,100,65000,170,6,1.5,28225.1458,110959.321,35.9120277,283.860119,221.067975,9432.97778
1,3.5284540177561075e-06,3.987960417129406e-09,292535518.7434634,245030731.5658152,1094691.6909247907,1458588.218663359,53461658.59927842,2381026782.1942563,2578765153.806775,1228995438.1879225,100,65000,170,6,1.5,37177.1598,224817.019,24.2169168,290.23435,222.311674,9709.56477
1,4.400250585661818e-06,4.3261219765272316e-09,281485451.08818865,264297104.67159885,1450521.7592701202,1118256.720711479,65956921.36949465,2155620922.910579,2985743143.407701,1318322421.5516157,100,65000,170,6,1.5,33399.3425,138219.322,24.0491842,290.847959,221.022068,9766.15698
1,4.30139611893569e-06,4.200009271975069e-09,281220105.63321936,241555916.66351947,1483139.3533897873,1011824.161449462,55993614.04546482,2111536709.674892,2429277110.3081474,1086564752.2590103,100,65000,170,6,1.5,33782.5946,137087.507,21.6558856,290.101575,221.137017,9725.60264
1,4.32857425576871e-06,3.490076252961169e-09,283002153.608356,299057013.68830305,1272295.7828390088,1277304.4154998604,71157780.2095302,2306671766.702956,2475670499.891761,1452601193.688951,100,65000,170,6,1.5,34840.7563,160753.275,24.4169987,303.066633,225.077575,10524.9023
1,3.836741196631222e-06,3.508003784444746e-09,247631003.74701715,295983604.22354007,1333114.67286324,1179239.763409221,70484914.33148175,2170565469.9420424,2712532081.57835,1368141966.155556,100,65000,170,6,1.5,34680.6391,153311.058,23.1897083,302.277523,225.119983,10462.1693
1,3.1832126359607887e-06,4.350140773316484e-09,246081391.65726343,277837869.0490149,1437212.4562520892,1442177.3886277515,61777212.561470136,2205421947.788697,2736823038.1243777,1282624517.3047855,100,65000,170,6,1.5,35622.9486,194678.19,22.61449,295.194444,222.961325,9983.66419
1,4.1031735358955605e-06,3.1639164834728756e-09,265502748.1629647,265448544.24491405,1315820.7565911182,1261041.874063315,53385243.28812367,2489355470.3666253,2453504245.1410027,1406272864.5991852,100,65000,170,6,1.5,37464.7915,189231.675,26.2918586,298.388115,224.97752,10249.5367
