Итерация,NGRADE,INIT-DEC-TBPND_PRE_EXP,INIT-DEC-TAPND_PRE_EXP,INIT-DEC-TOPPI_PRE_EXP,INIT-DEC-TOPND_PRE_EXP,INIT-DEC-TAPPI_PRE_EXP,INIT-DEC-TBPEH_PRE_EXP,INIT-DEC-TBPIN_PRE_EXP,INIT-DEC-DTBP_PRE_EXP,INIT-DEC-ETHYLENE_PRE_EXP,CHAIN-INI-ETHYLENE_PRE_EXP,CHAIN-INI-PROPYLEN_PRE_EXP,PROPAGATION-ETHYLENE-ETHYLENE_PRE_EXP,PROPAGATION-ETHYLENE-PROPYLEN_PRE_EXP,PROPAGATION-PROPYLEN-ETHYLENE_PRE_EXP,PROPAGATION-PROPYLEN-PROPYLEN_PRE_EXP,CHAT-MON-ETHYLENE-ETHYLENE_PRE_EXP,CHAT-MON-ETHYLENE-PROPYLEN_PRE_EXP,CHAT-MON-PROPYLEN-ETHYLENE_PRE_EXP,CHAT-MON-PROPYLEN-PROPYLEN_PRE_EXP,CHAT-AGENT-ETHYLENE-PAL_PRE_EXP,CHAT-AGENT-PROPYLEN-PAL_PRE_EXP,TERM-DIS-ETHYLENE-ETHYLENE_PRE_EXP,TERM-DIS-ETHYLENE-PROPYLEN_PRE_EXP,TERM-DIS-PROPYLEN-ETHYLENE_PRE_EXP,TERM-DIS-PROPYLEN-PROPYLEN_PRE_EXP,TERM-COMB-ETHYLENE-ETHYLENE_PRE_EXP,TERM-COMB-ETHYLENE-PROPYLEN_PRE_EXP,TERM-COMB-PROPYLEN-ETHYLENE_PRE_EXP,TERM-COMB-PROPYLEN-PROPYLEN_PRE_EXP,B-SCISSION-ETHYLENE_PRE_EXP,B-SCISSION-PROPYLEN_PRE_EXP,CHAT-POL-ETHYLENE-ETHYLENE_PRE_EXP,CHAT-POL-ETHYLENE-PROPYLEN_PRE_EXP,CHAT-POL-PROPYLEN-ETHYLENE_PRE_EXP,CHAT-POL-PROPYLEN-PROPYLEN_PRE_EXP,SC-BRANCH-ETHYLENE-ETHYLENE_PRE_EXP,SC-BRANCH-ETHYLENE-PROPYLEN_PRE_EXP,SC-BRANCH-PROPYLEN-ETHYLENE_PRE_EXP,SC-BRANCH-PROPYLEN-PROPYLEN_PRE_EXP,LDPE,MWW,MWN,FSCB
0,1,152000000000000.0,147000000000000.0,76000000000000.0,76000000000000.0,412000000000000.0,30800000000000.0,194000000000000.0,280000000000000.0,1000000000.0,60600000.0,27500000.0,66660000.0,20000000.0,39270000.0,10250000.0,325000.0,8500.0,6100.0,6900.0,460000.0,460000.0,78000000.0,78000000.0,78000000.0,78000000.0,78000000.0,78000000.0,78000000.0,78000000.0,1370.0,1370.0,805.0,805.0,805.0,805.0,245000000000.0,1100000000.0,1100000000.0,1100000000.0,18118.0234,153485.942,16292.4446,26.8236208
1,1,132181368662960.9,162859034634354.7,83690407930074.75,72225534486076.33,423225637029344.1,35863421875936.5,192860676296546.2,290368960611767.9,1040045567.521495,69120722.8567033,28474610.93973728,65411725.08327787,18708759.84143494,43832233.15539307,12036338.58287311,317114.5678403506,9493.23882191987,5270.517773345351,6945.04246730709,433529.6606905677,433483.3588570171,80063693.54702312,76832004.08675328,81138645.77509198,65308028.0035062,71050355.5980767,91211528.50010735,69475676.34196214,84876277.6397987,1209.61260508628,1267.12857953389,669.9331644820263,867.0407879840941,882.6375938981095,814.7068147854968,264745569265.095,1260115600.994643,1110596373.358963,911878742.8208665,18092.8798,158868.075,16577.6108,29.546876
2,1,126301681343108.7,138293217099005.9,83528232065300.03,80733537439220.56,366734244452471.9,35713061135425.67,171476615762471.5,287257012416818.6,1001045888.200493,60504693.6081197,24566855.39970168,66921634.13671998,18493175.28687989,35361009.12552848,11303302.49004427,297812.2119320488,7129.163145729458,6513.930773094623,5655.058531354987,392148.6581090282,400617.5989456451,89619635.7009616,72288266.410002,85168844.59135678,63877513.18263857,77414569.99183753,74286388.72328123,71626451.05545466,86208323.59291056,1096.950782285428,1515.767132845896,705.9929151644099,790.9687002090219,766.4310613629325,651.6797898941672,288875819871.6341,906968914.4835937,1170777866.416487,915949768.8992054,18119.8172,178696.345,17956.2083,31.5039581
3,1,160663719257527.2,142021959881121.7,86355697260265.38,73053886853543.78,371748493376369.2,25001449102783.58,176531828426009.4,297128563527685.5,1038043454.551141,66883707.13994318,24646316.64905259,63586957.44503119,18905625.14683142,36697148.08077678,9017151.564221393,266784.9415935555,9460.26108336106,5394.023605796047,6171.001314590416,427032.7032274778,515145.4904722465,78929140.81676237,92380825.34272993,87155432.71488573,70103723.5543508,73922379.46139577,79180778.43687809,63632283.6292843,93489703.26192717,1139.778403177322,1473.414372940946,865.7557621553348,916.0640178260214,735.0168605833553,741.8379233345185,288008541340.8214,1265299905.451321,1269639898.695409,932644403.0741922,18038.0573,188607.187,17385.0946,32.9388611
4,1,134541331652297.2,119866795123339.5,72944037823942.23,90355068823988.98,461626719044067.6,31053461538051.14,191399736099631.6,319491057136130.5,953529795.1497306,71495743.54127501,28151046.76485674,62430350.45204883,21652453.57939423,37616541.04939947,10090674.96819666,290396.3296907495,7322.671917164832,5140.114459253533,6547.876618885559,541807.3206777328,395218.1930460446,73543383.5677235,68752447.06366879,87406883.15641418,68963967.0006802,79618833.65246673,68873461.123459,78170175.15334122,78795281.97197352,1326.002136140986,1475.151225569513,807.7979185582668,766.3446710889907,733.647836780349,830.357727676971,288329384075.463,1204175566.69775,1175249475.008905,1143306913.764982,17973.4129,166205.146,16673.2138,33.3396969
5,1,167515271942923.6,175166115786220.9,72853347246054.67,83508982997510.25,416597330311646.5,35905732611037.73,194797941453283.1,308731788840216.6,1125218238.007982,60661672.74439323,32018156.01935502,72618325.77582142,17101397.60044493,32772445.84401556,9130884.424484456,337981.3714031056,9416.198574083273,6905.310769451085,7216.989494126513,479196.0604654541,372251.829704905,70188185.52981584,76054935.59080318,91499611.90562966,82717230.77984482,78611340.34920248,92756879.48269165,89539754.49293272,80714320.75679632,1624.073279265549,1259.602963579869,682.578163583444,835.4862881568474,774.1935271980659,884.4995814351374,264332213886.5508,1220184770.884342,1282163499.595653,1109199589.403443,18144.441,134681.497,15464.5884,26.5489943
6,1,128983486976965.0,166245467330756.5,71519462133221.53,80347995798626.64,448363879197268.6,26599180289761.48,188461885359940.5,272368556148308.2,906020929.1405696,67497122.21484455,26967066.57299042,76341691.6886239,19749810.85658944,40191001.54953638,9721474.66785049,301999.4490963484,9850.840036079251,7230.080700756551,6264.988336081957,496673.4621549819,512883.6027995222,66911214.4473836,85747424.90055706,70950426.89595805,69065795.90697864,74982054.34751153,75677926.41172066,74235226.16533208,76202440.46508946,1503.907837661459,1185.515123525175,737.3428018265356,953.5771686413673,808.5208655403239,884.0438546074299,275989699422.8663,886160365.0059962,1221213395.490036,1314024609.458048,18223.7385,163056.874,17434.6377,26.4915992
7,1,180804578183505.6,124653438508619.6,89838343751651.88,83021997768261.94,371031423899631.6,34908518902115.9,184761563835498.7,280137827173239.8,921359641.3414311,68272290.15380085,22427151.66277784,54748584.0468834,19355904.00301391,38287598.07720309,10240129.22703475,314865.1991752686,7507.481397434321,6851.192782334795,5618.103002420597,541168.6429084013,416349.0047050415,82049229.82657887,65556613.62214242,78748436.22781913,78751115.5285968,65889750.9775371,85036526.3649539,67420191.30419047,92827785.27755678,1155.310128128354,1143.003859357792,896.5140358775744,861.0549069010453,880.0977963621046,686.4052299032319,212851967909.1039,946877681.8488647,1000487704.688363,1180025019.4251,18021.2495,139321.818,14725.4931,28.2512087
8,1,178140964119139.7,172193558817622.0,73582703173637.45,81755187177696.2,458926722959830.8,36505505969356.52,163541953521571.9,271827930980946.2,875499462.62379,64397329.31556636,26238035.84454771,53710473.4888119,16528240.29064428,35970772.43924956,11416131.83591336,292242.3125249803,9018.475439694497,5314.13063998041,7192.223738498695,456376.8837868279,385427.0657102249,81135240.90612476,63184611.67017005,67148746.25148033,80445400.87464778,81217944.69394779,89450632.3156188,71246756.64140488,78360155.85008791,1504.410547435679,1577.924903942891,886.701607320087,762.4046291403454,886.1937772982378,719.8956428381402,226768097832.4865,1301529121.419518,993966987.0289564,1258561818.300497,18025.7758,137170.38,13427.4605,30.6783476
9,1,153240518165600.4,141620804759900.7,72511533553158.75,84058324862073.19,366737024491448.4,25041520282202.93,187030438934260.1,321238075467778.2,1085551517.428161,61470809.42129202,29337583.41908442,56753096.82761505,16094769.36356421,45702032.87179374,10276296.79475759,364683.3829345158,9045.769200887284,6814.577753183859,5976.676740076239,455829.4245644573,478983.8265037299,77064682.05109273,67553954.13108067,72056582.26146239,67477367.84248091,76762982.08664344,73432646.64431754,73818989.10315292,70412693.84484996,1559.475907929988,1144.256845234504,825.0903571321602,818.6232789976718,847.1475295734939,941.8772879237179,259980257184.179,935977074.8756818,976543233.6061105,962764191.3417275,17905.3575,114232.301,12939.1214,33.0745588
